time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T15:26:05.684Z,60.2305,-139.8112,24.3,1.4,ml,,,,1.58,ak,ak20272094,2018-10-06T15:36:00.555Z,"76km N of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-06T15:18:43.780Z,26.5087,129.4566,10,4.8,mb,,85,1.108,0.83,us,us1000h84n,2018-10-06T15:43:54.040Z,"147km E of Nago, Japan",earthquake,6.1,1.9,0.116,23,reviewed,us,us
2018-10-06T15:14:52.590Z,36.2513333,-117.8863333,4.81,1.24,ml,19,73,0.1359,0.18,ci,ci38316768,2018-10-06T15:18:30.259Z,"11km ESE of Olancha, CA",earthquake,0.41,1.11,0.143,17,automatic,ci,ci
2018-10-06T15:13:40.046Z,61.1397,-141.8112,0,1.7,ml,,,,0.93,ak,ak20272077,2018-10-06T15:25:00.700Z,"124km NNE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T15:10:04.850Z,33.494,-116.7825,3.61,0.32,ml,18,48,0.02362,0.2,ci,ci38316760,2018-10-06T15:13:41.871Z,"10km NE of Aguanga, CA",earthquake,0.34,1.02,0.088,8,automatic,ci,ci
2018-10-06T15:02:56.745Z,62.5082,-149.4514,48.2,1.4,ml,,,,0.8,ak,ak20272074,2018-10-06T15:07:26.203Z,"39km ENE of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T15:00:31.642Z,61.3257,-150.6829,55.1,1.1,ml,,,,0.32,ak,ak20272072,2018-10-06T15:07:26.477Z,"43km WNW of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T14:53:07.161Z,37.0523,-116.1545,6.5,0.3,ml,42,39.97,0.028,0.1818,nn,nn00659798,2018-10-06T16:10:00.926Z,"56km ENE of Beatty, Nevada",earthquake,,0.9,0.48,19,reviewed,nn,nn
2018-10-06T14:45:57.130Z,33.6721667,-116.7391667,15.73,2.13,ml,67,25,0.04413,0.21,ci,ci38316744,2018-10-06T14:56:58.810Z,"8km SSW of Idyllwild, CA",earthquake,0.21,0.4,0.178,26,automatic,ci,ci
2018-10-06T14:44:48.320Z,17.4453,-65.031,33,3.21,md,9,334,1.0744,0.31,pr,pr2018279005,2018-10-06T17:41:26.666Z,"48km SW of Christiansted, U.S. Virgin Islands",earthquake,3.24,14.47,0.27,5,reviewed,pr,pr
2018-10-06T14:35:08.226Z,63.0409,-151.5975,0.1,1.8,ml,,,,0.76,ak,ak20272068,2018-10-06T14:39:41.399Z,"110km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-06T14:27:17.666Z,63.0252,-151.5575,5.8,1.4,ml,,,,0.73,ak,ak20272065,2018-10-06T14:34:32.123Z,"107km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T14:14:46.760Z,33.1556667,-115.9678333,3.7,1.19,ml,32,69,0.1678,0.28,ci,ci38316736,2018-10-06T14:18:31.874Z,"15km E of Ocotillo Wells, CA",earthquake,0.42,2.13,0.126,22,automatic,ci,ci
2018-10-06T14:13:14.140Z,33.5276667,-116.7198333,4.1,0.53,ml,17,50,0.04036,0.14,ci,ci38316728,2018-10-06T14:16:44.899Z,"5km SW of Anza, CA",earthquake,0.29,0.47,0.26,10,automatic,ci,ci
2018-10-06T14:12:12.155Z,60.3072,-143.3181,1.7,2,ml,,,,1.08,ak,ak20272061,2018-10-06T14:22:46.840Z,"56km WNW of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T14:00:51.890Z,61.9579,-150.9241,57.1,1.8,ml,,,,0.62,ak,ak20272057,2018-10-06T14:05:42.988Z,"52km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-06T13:47:37.296Z,60.1705,-141.1244,5,1.6,ml,,,,1.46,ak,ak20272052,2018-10-06T14:00:33.461Z,"73km E of Cape Yakataga, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-10-06T13:46:35.834Z,62.0209,-150.5096,4.1,1.9,ml,,,,0.81,ak,ak20272050,2018-10-06T13:51:18.762Z,"37km WSW of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T13:37:03.010Z,33.1756667,-117.176,6.56,0.71,ml,11,226,0.3549,0.23,ci,ci38316712,2018-10-06T13:40:43.017Z,"4km NNW of San Marcos, CA",earthquake,1.74,31.61,0.109,3,automatic,ci,ci
2018-10-06T13:33:02.463Z,69.5838,-144.5533,0.1,2.6,ml,,,,0.67,ak,ak20272046,2018-10-06T15:54:32.040Z,"70km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-06T13:11:13.720Z,36.2913,68.641,53.28,4.1,mb,,93,1.334,0.72,us,us1000h83i,2018-10-06T15:32:10.040Z,"18km NNW of Baghlan, Afghanistan",earthquake,6.6,16.4,0.214,6,reviewed,us,us
2018-10-06T13:10:00.334Z,64.7363,-148.9774,17.7,1.6,ml,,,,0.39,ak,ak20272039,2018-10-06T13:18:34.506Z,"18km NNE of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T13:03:36.190Z,33.5,-116.801,2.59,0.34,ml,13,119,0.01235,0.17,ci,ci38316704,2018-10-06T13:07:13.181Z,"9km NE of Aguanga, CA",earthquake,0.54,0.36,0.069,6,automatic,ci,ci
2018-10-06T13:02:43.901Z,63.2097,-151.1069,0.1,1.4,ml,,,,1.25,ak,ak20272035,2018-10-06T13:07:45.317Z,"110km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-06T13:02:01.000Z,33.4378333,-116.4226667,5.03,0.56,ml,17,128,0.1498,0.17,ci,ci38316696,2018-10-06T13:05:41.232Z,"21km NNW of Borrego Springs, CA",earthquake,0.38,31.61,0.13,14,automatic,ci,ci
2018-10-06T12:38:49.133Z,38.4069,-118.9091,11.6,1.4,ml,17,62.79,0.123,0.1995,nn,nn00659793,2018-10-06T15:51:31.498Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.2,0.2,4,reviewed,nn,nn
2018-10-06T12:12:46.031Z,62.2893,-151.1984,72.4,1.9,ml,,,,0.46,ak,ak20272018,2018-10-06T12:23:02.372Z,"56km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T12:09:06.625Z,64.8303,-147.2921,10.2,1.3,ml,,,,0.92,ak,ak20272014,2018-10-06T12:15:34.700Z,"9km NNE of North Pole, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-06T11:56:46.090Z,34.0545,-117.125,6.84,0.9,ml,23,61,0.02167,0.21,ci,ci38316680,2018-10-06T12:00:30.525Z,"2km SSE of Mentone, CA",earthquake,0.37,0.68,0.148,28,automatic,ci,ci
2018-10-06T11:53:47.420Z,35.6666667,-89.6808333,9.53,1.94,md,11,118,0.08937,0.06,nm,nm60065723,2018-10-06T17:28:04.710Z,"11km NNW of Covington, Tennessee",earthquake,0.31,0.71,0.035,4,reviewed,nm,nm
